Fiscal Year,Department Name,Fund Name,Unit Name,Expenditure Category,Object Name,Actual Expenses,Current Expense Budget
2022,Norfolk Community Services Board,Community Services Board,Drug Court,Personnel Services,Employers Contrb Hospitalizatn,7842.03,15374
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,"Materials, Supplies, and Repairs",Repairs-Buildings,7880.76,64978
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Repairs-Buildings,7898.87,84801
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Retirement,7915,7915
2022,General Services,General Fund,Animal Care Center,Personnel Services,Temporary/Casual Employment,7920.34,0
2022,Norfolk Community Services Board,Community Services Board,Youth Forensic Services,Personnel Services,Employers Contrb Hospitalizatn,7923.42,7967
2022,Slover Library,General Fund,Slover Library,Equipment,Equip-Office & Household,7927.45,25000
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Supplies-Medical & Expenses,7949.17,3000
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Supplies-Agricultural,7970.61,8676
2022,Human Services,General Fund,Ysb - Secure Detention,Equipment,Equip-Office & Household,7974.75,46692
2022,Police,General Fund,Central Records,"Materials, Supplies, and Repairs",Repairs-Office Equipment,8016.53,7821
2022,Norfolk Community Services Board,Community Services Board,Intake,Contractual Services,Temp Services-Admin/Clerical,8016.85,1
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Signs,8027.96,5000
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Social Security Fica Tax,8041.36,5874
2022,Planning and Community Development,General Fund,Division of City Planning,Contractual Services,Telephone,8049.11,6100
2022,Libraries,General Fund,Programming Services,Equipment,Equip-Office & Household,8065.02,14000
2022,Norfolk Community Services Board,Gen Fixed Assets Group Of Acct,PACT Forensics,Contractual Services,Depr-System Account,8069.14,0
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural Affairs & Special Events,Personnel Services,Retirement,8074,8074
2022,Police,General Fund,Pistol Range,"Materials, Supplies, and Repairs",Electricity,8078.13,11210
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Personnel Services,Semi-Monthly/Monthly Overtime,8087.49,25000
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,8087.54,9500
2022,Neighborhood Development,General Fund,Director's Office,Public Assistance,Grants-Rehab,8128.53,9000
2022,City Real Estate Assessor,General Fund,City Real Estate Assessor,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,8132,8132
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Personnel Services,Group Life Insurance Perm,8135.92,9858
2022,Zoological Park,General Fund,Zoo,"Materials, Supplies, and Repairs",Supplies-Office,8143.29,6000
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,Contractual Services,Employee Training Expense,8159.52,10210
2022,Police,General Fund,Police Administration,Personnel Services,Retirement Expense (Vsrs Emp),8163.53,0
2022,The National Maritime Center,Maritime Center,USS Wisconsin,Personnel Services,Employers Contrb Hospitalizatn,8171.44,7567
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Contractual Services,Other Contractual Services,8173.57,0
2022,Finance Department,General Fund,Finance Director Office,Personnel Services,Retirement Expense (Vsrs Emp),8209.53,0
2022,Public Health,General Fund,Vector Control,Personnel Services,Employers Contrb Hospitalizatn,8221.44,25792
2022,Finance Department,General Fund,City Controller,Contractual Services,Temp Services-Admin/Clerical,8240.52,0
2022,Libraries,General Fund,Collection and Support Services,Personnel Services,Group Life Insurance Perm,8260.31,8889
2022,Police,General Fund,Third Patrol,Equipment,Equip-Bldg-Mech & Portable,8282.38,7738
2022,Public Works,General Fund,Right of Way,Personnel Services,Semi-Monthly/Monthly Overtime,8302.1,11264
2022,Water,Water Utility Fund,Utility Director Office,"Materials, Supplies, and Repairs",Supplies-Printing & Reproductn,8318.57,15000
2022,Norfolk Community Services Board,Community Services Board,Supportive Services (NOW) ISP,Contractual Services,Other Contractual Services,8358,49427
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,Personnel Services,Retirement Expense (Vsrs Emp),8386.65,0
2022,Public Health,Gen Fixed Assets Group Of Acct,Vector Control,Contractual Services,Depr-System Account,8417.33,0
2022,General Services,General Fund,Director's Office General Services,Personnel Services,Group Life Insurance Perm,8472.35,8199.38
2022,Norfolk Community Services Board,Community Services Board,Homeless Initiatives,Personnel Services,Social Security Fica Tax,8486.65,6708
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Personnel Services,Temporary/Casual Employment,8517.21,45104
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,Personnel Services,Semi-Monthly/Monthly Overtime,8557.68,2500
2022,Norfolk Community Services Board,Community Services Board,Administrative Services,Personnel Services,Group Life Insurance Perm,8570.4,11337
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Personnel Services,Social Security Fica Tax,8624.54,10769
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Personnel Services,Temporary/Casual Employment,8658.49,110166
2022,Police,General Fund,Chief Of Police,"Materials, Supplies, and Repairs",Supplies-Office,8662.5,4461
2022,Zoological Park,General Fund,Horticulture Services,"Materials, Supplies, and Repairs",Small Tools,8699.93,2000
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,8805.38,8674
2022,Int Service Fund-Auto Maint,Int Service Fund-Auto Maint,Int Servic Fund-Auto Maint,"Materials, Supplies, and Repairs",Gas-Natural & Propane,8831.32,25000
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center Annex,"Materials, Supplies, and Repairs",Gas-Natural & Propane,8837.59,12936
2022,Norfolk Community Services Board,Community Services Board,Emergency Services,Personnel Services,Temporary/Casual Employment,8840.07,36289
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Employee Training Expense,8841.22,18000
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Advertising,8847.24,7000
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Contractual Services,Other Contractual Services,8853.94,2400
2022,Transportation,General Fund,Transportation Strategy and Innovation,Personnel Services,Social Security Fica Tax,8885.92,15893
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Contractual Services,Water & Sewage Disposal,8913.4,5500
2022,Outside Agencies,General Fund,Legal Aid Society,Department Specific Appropriation,All Purpose Appropriations,8968,8968
,,,,,,,
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Advertising,9000,5000
2022,Water,Water Utility Fund,Division of Water Distribution,Contractual Services,Telephone Chargeback I.S.,9000,9000
2022,Public Works,General Fund,Directors Office Public Works,Personnel Services,Retirement Expense (Vsrs Emp),9005.79,0
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Personnel Services,Group Life Insurance Perm,9059.26,11160
2022,The Department of Parks & Recreation (P&R),Gen Fixed Assets Group Of Acct,Dir Off-Rec-Parks Opn Spc,Contractual Services,Depr-System Account,9062.53,0
2022,Libraries,General Fund,Branch Operations,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,9082.51,30826
2022,Neighborhood Development,General Fund,Director's Office,Department Specific Appropriation,All Purpose Appropriations,9086.59,22500
2022,City Manager,General Fund,City Manager,Contractual Services,Membership Dues & Subscription,9088.2,10677
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Personnel Services,Retirement Expense (Vsrs Emp),9102.14,0
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Personnel Services,Retirement Expense (Vsrs Emp),9129.12,0
2022,Neighborhood Development,General Fund,Director's Office,Public Assistance,Promoting Safe & Stable Family,9131.37,11000
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Other Contractual Services,9144.8,10500
2022,Water,Water Utility Fund,Division Of Water Quality,Equipment,Equip-Bldg-Mech & Portable,9176.11,41650
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Retirement,9180,9180
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Small Tools,9203.51,9000
2022,Office of Marketing and Communications,General Fund,Norfolk Arts,Contractual Services,Other Contractual Services,9207.58,15000
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Contractual Services,Security Services,9219.06,9101
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,9221.4,9500
2022,Fire-Rescue,General Fund,Dept Of Fire - Rescue Services,Contractual Services,Parking Validations,9235,9000
2022,Water,Water Utility Fund,Division of Water Distribution,"Materials, Supplies, and Repairs",Supplies-Office,9249.79,2000
2022,Healthcare Fund,Int Service Fund-Healthcare,City-Administered Healthcare,Personnel Services,Temporary/Casual Employment,9261.94,0
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Personnel Services,Retirement,9271,9271
2022,Libraries,General Fund,Programming Services,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,9336,9334
2022,Planning and Community Development,General Fund,Planning,Contractual Services,Membership Dues & Subscription,9374,1813
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,Personnel Services,Temporary/Casual Employment,9381.53,1193
2022,Sheriff,Gen Fixed Assets Group Of Acct,FY18 Community Corrections Program,Contractual Services,Depr-System Account,9392.06,0
2022,The National Maritime Center,Maritime Center,Cruise Ship Terminal,Personnel Services,Retirement,9400,9400
2022,Development,General Fund,Development Division,Personnel Services,Retirement Expense (Vsrs Emp),9424.61,0
2022,Finance Department,General Fund,Purchasing Agent,Personnel Services,Group Life Insurance Perm,9425.3,9710
2022,Public Health,General Fund,Vector Control,Equipment,Equip-Bldg-Mech & Portable,9452.51,1880
2022,General Services,General Fund,Animal Care Center,Contractual Services,Legal & Professional Services,9453.48,28200
2022,Libraries,General Fund,Branch Operations,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,9473.22,15512
2022,Cultural Facilities Arts Entertainment,General Fund,Cultural And Convention Center,Personnel Services,Retirement Expense (Vsrs Emp),9497.81,0
2022,Public Health,General Fund,Vector Control,Personnel Services,Social Security Fica Tax,9581.28,19898
2022,Police,Gen Fixed Assets Group Of Acct,Special Enforcement Division,Contractual Services,Depr-System Account,9585.7,0
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Personnel Services,Social Security Fica Tax,9596.74,15411
2022,Neighborhood Development,General Fund,IMPACT Norfolk,Contractual Services,Telephone,9599.58,13472
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,9629.52,10000
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Membership Dues & Subscription,9639.37,6442
2022,Libraries,General Fund,Branch Operations,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,9640,9640
2022,The National Maritime Center,Maritime Center,Schools & Education Services,Personnel Services,Social Security Fica Tax,9649.39,10227
2022,Public Works,General Fund,Bureau Of Design,Contractual Services,Telephone,9717.52,10745
2022,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Special Pay & Allowances,9726,3156
2022,Norfolk Community Services Board,Community Services Board,SA Case Management,Personnel Services,Social Security Fica Tax,9754.15,17909
2022,Commonwealths Attorney,General Fund,Commonwealth Attorney,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,9760,9758
2022,Public Works,General Fund,Bureau Of Design,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,9760,9758
2022,Finance Department,General Fund,Purchasing Agent,Personnel Services,Retirement Expense (Vsrs Emp),9775.94,0
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,9838.64,38060
2022,Waste Management,Waste Management,Waste Management,Contractual Services,Rent Of Equipment,9847.88,5716
2022,Police,General Fund,Detective,"Materials, Supplies, and Repairs",Supplies-Office,9848.75,13850
2022,Human Resources,General Fund,Director Of Human Resources,Contractual Services,Recruitment Expense,9886.64,17976
2022,The Department of Parks & Recreation (P&R),General Fund,Recreation Centers,Contractual Services,Traveling Expense,9896.18,24000
2022,Human Services,General Fund,State Fully Reimbursable (general),Personnel Services,Social Security Fica Tax,9985.69,0
2022,Norfolk Community Services Board,Community Services Board,Substance Use Disorder & BH Outpatient Services Admin,Contractual Services,Telephone Chargeback I.S.,10012,10012
2022,City Attorney,General Fund,City Attorney,Personnel Services,Special Pay & Allowances,10041.5,34000
2022,General Services,General Fund,Facility and Enterprise Management,"Materials, Supplies, and Repairs",Supplies-Office,10078.8,16990
2022,Water,Water Utility Fund,Divison Of Water Accounts,Contractual Services,Telephone Chargeback I.S.,10080,10080
2022,Public Works,General Fund,Utility Cuts Repairs,Personnel Services,Social Security Fica Tax,10082.43,17539
2022,Neighborhood Development,General Fund,Neighborhood Quality,Personnel Services,Retirement Expense (Vsrs Emp),10103.74,0
2022,Zoological Park,General Fund,Operations,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,10181.91,17000
2022,Development,General Fund,Development Division,"Materials, Supplies, and Repairs",Supplies-Office,10226.51,9750
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Contractual Services,Security Services,10244.85,6501
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Contractual Services,Security Services,10244.85,6501
2022,Transportation,General Fund,Transportation,Contractual Services,Telephone,10266.22,15600
2022,Norfolk Community Services Board,Community Services Board,Shelter Plus Care Grant,Public Assistance,Client Exp-Personal Items,10268.98,3000
2022,Human Services,General Fund,Social Services,"Materials, Supplies, and Repairs",Repairs-Buildings,10273.67,10500
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Personnel Services,Group Life Insurance Perm,10395.72,11448
2022,Parking Facilities Fund,Parking Facilities,Operations,Personnel Services,Retirement Expense (Vsrs Emp),10400.17,0
2022,Norfolk Community Services Board,Community Services Board,Quality Management,Personnel Services,Social Security Fica Tax,10438.36,10922
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Personnel Services,Employers Contrb Hospitalizatn,10467.42,10659
2022,Norfolk Community Services Board,Community Services Board,Jail Diversion Planning,Personnel Services,Employers Contrb Hospitalizatn,10517.42,10659
2022,Cultural Facilities Arts Entertainment,General Fund,Harbor Park,Contractual Services,Refuse & Garbage Disposal,10525.65,17609
2022,Water,Water Utility Fund,Divison Of Water Accounts,Personnel Services,Group Life Insurance Perm,10551.72,12047
2022,Libraries,General Fund,Administrative Support,Personnel Services,Social Security Fica Tax,10555.67,10464
2022,Human Resources,General Fund,Director Of Human Resources,Personnel Services,Retirement Expense (Vsrs Emp),10564.86,0
2022,Planning and Community Development,General Fund,Division of Codes Administration,Contractual Services,Rent Of Equipment,10619.33,11360
2022,The Department of Parks & Recreation (P&R),General Fund,Park and Forestry Operations,"Materials, Supplies, and Repairs",Small Tools,10645.58,21461
2022,The Department of Parks & Recreation (P&R),General Fund,Youth Development,Personnel Services,Social Security Fica Tax,10674.76,5493
2022,Cemeteries,Gen Fixed Assets Group Of Acct,Cemetery,Contractual Services,Depr-System Account,10680.69,0
2022,Public Works,General Fund,Streets And Bridges,Equipment,Equip-Software-Over $1000,10722.13,9900
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",AFMS,10730,10730
2022,Norfolk Community Services Board,Community Services Board,Assertive Community Treatment,Public Assistance,General Relief,10751.6,2978
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,10751.62,6000
2022,Norfolk Community Services Board,Community Services Board,Housing & Homeless Services,Contractual Services,Telephone,10754.14,4320
2022,Public Works,General Fund,Directors Office Public Works,Personnel Services,Group Life Insurance Perm,10759.16,11490
2022,Water,Water Utility Fund,Division of Water Production,"Materials, Supplies, and Repairs",Repairs-Special Projects,10796.07,63900
2022,Human Services,General Fund,Home Based Child Care LO,Personnel Services,Employers Contrb Hospitalizatn,10812.07,0
2022,Water,Water Utility Fund,Divison Of Water Accounts,Personnel Services,Retirement Expense (Vsrs Emp),10825.48,0
2022,Fire-Rescue,General Fund,Corporate Communications,"Materials, Supplies, and Repairs",Repairs-Signal System,10841.54,15547
2022,Transportation,General Fund,Transportation,Contractual Services,Advertising,10884.47,10000
2022,Office of Marketing and Communications,General Fund,Norfolk Arts,Contractual Services,Telephone,10956.22,13000
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,11007.91,11000
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Personnel Services,Group Life Insurance Perm,11034.94,13712
2022,Cemeteries,Cemetary Fund,Cemetery,Personnel Services,Group Life Insurance Perm,11063.08,13114
2022,Neighborhood Development,General Fund,Neighborhood Quality,Personnel Services,Group Life Insurance Perm,11124.45,14134
2022,Wastewater,Waste Water Utility Fund,Division Of Sewers,Personnel Services,Retirement Expense (Vsrs Emp),11143.16,0
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Supplies-Office,11143.27,10325
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,"Materials, Supplies, and Repairs",Supplies-Office,11179.7,6232
2022,General Services,General Fund,Animal Care Center,Personnel Services,Retirement Expense (Vsrs Emp),11232.81,0
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,11256.95,22189
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Contractual Services,Security Services,11268.64,7152
2022,Public Works,Gen Fixed Assets Group Of Acct,Renovate Public Works Operational Facilities,Contractual Services,Depr-System Account,11288.52,0
2022,Human Resources,General Fund,Director Of Human Resources,"Materials, Supplies, and Repairs",Supplies-Office,11436.91,15060
2022,Water,Water Utility Fund,Division Of Account.& Budget,Personnel Services,Semi-Monthly/Monthly Overtime,11444.78,800
2022,Zoological Park,Gen Fixed Assets Group Of Acct,Animal Services,Contractual Services,Depr-System Account,11494.73,0
2022,Transportation,General Fund,Transportation,Personnel Services,Retirement Expense (Vsrs Emp),11520.51,0
2022,Human Services,General Fund,Ysb - Secure Detention,Contractual Services,Refuse & Garbage Disposal,11550.72,7105
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Personnel Services,Group Life Insurance Perm,11587.11,12828
2022,Norfolk Community Services Board,Community Services Board,Homeless Center 1050 Tidewater Dr,Contractual Services,Architects & Engrs Fees,11590,11590
2022,Planning and Community Development,General Fund,Planning & Community Developement,Contractual Services,Membership Dues & Subscription,11592.15,6115
2022,Police,General Fund,Property-Evidence,Contractual Services,Other Contractual Services,11651.85,3248
2022,Norfolk Community Services Board,Community Services Board,Clinical Acute Services Administration,Personnel Services,Social Security Fica Tax,11732.6,12016
2022,Norfolk Community Services Board,Community Services Board,Forensic Services Admin,Contractual Services,Telephone,11753.17,6540
2022,Fire-Rescue,General Fund,PPE Shop,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,11759.34,11759.34
2022,Neighborhood Development,General Fund,Director's Office,Personnel Services,Group Life Insurance Perm,11813.59,12765
2022,Norfolk Community Services Board,Community Services Board,Youth Forensic Services,Personnel Services,Retirement,11852,11852
2022,Human Services,Gen Fixed Assets Group Of Acct,Ysb - Secure Detention,Contractual Services,Depr-System Account,11864.19,0
2022,Water,Water Utility Fund,Utility Director Office,Contractual Services,Employee Training Expense,11887,10000
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Contractual Services,Membership Dues & Subscription,11896.5,7124
2022,Police,General Fund,Assistant Chief ASB,"Materials, Supplies, and Repairs",Repairs-Office Equipment,11962.24,12239
2022,The Department of Parks & Recreation (P&R),General Fund,Special Services,"Materials, Supplies, and Repairs",Supplies-Recreational,11993.44,8284
2022,Clerk of the Circuit Court,General Fund,Clerk Of Circuit Court,"Materials, Supplies, and Repairs",Postage - Commercial,12000,20000
2022,Outside Agencies,General Fund,Norfolk Chamber Of Commerce,Department Specific Appropriation,All Purpose Appropriations,12000,12000
2022,Planning and Community Development,General Fund,Planning,Contractual Services,Telephone,12023.97,22563
2022,Slover Library,General Fund,Slover Library,Contractual Services,Telephone,12027.89,15273
2022,Norfolk Community Services Board,Community Services Board,Integrated Care Clinic,Personnel Services,Group Life Insurance Perm,12062.52,16777
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Contractual Services,Telephone,12064.7,10901
2022,Norfolk Community Services Board,Community Services Board,Mental Health Court,Personnel Services,Employers Contrb Hospitalizatn,12091.41,7567
2022,Water,Water Utility Fund,Division of Water Production,Contractual Services,Membership Dues & Subscription,12103.83,6995
2022,Libraries,General Fund,Sargeant Memorial Collection (SMC),Personnel Services,Social Security Fica Tax,12136.99,12095
2022,Human Services,General Fund,State Fully Reimbursable (general),Personnel Services,Employers Contrb Hospitalizatn,12156.17,0
2022,Norfolk Community Services Board,Community Services Board,Homeless Project - Path,Personnel Services,Social Security Fica Tax,12211.34,11818
2022,Zoological Park,General Fund,Animal Services,Personnel Services,Group Life Insurance Perm,12225.31,12430
2022,Waste Management,Waste Management,Waste Management,"Materials, Supplies, and Repairs",Supplies-Cleaning & Household,12254.4,25050
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Repairs-Portable Equipment,12291.87,30287
2022,Finance Department,General Fund,Retirement,Personnel Services,Retirement Expense (Vsrs Emp),12326.42,0
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Supplies-Office,12336.61,11451
2022,Human Services,General Fund,Social Services,Public Assistance,Child Welfare Substance Abuse and Supplemental Services,12339.71,42850
2022,Zoological Park,General Fund,Animal Services,Personnel Services,Semi-Monthly/Monthly Overtime,12340.53,23000
2022,Finance Department,General Fund,Finance Director Office,Personnel Services,Group Life Insurance Perm,12385.79,13389
2022,Budget and Strategic Planning,General Fund,Office Of Budget & Management,Personnel Services,Retirement Expense (Vsrs Emp),12387.84,12000
2022,Zoological Park,General Fund,Animal Services,Equipment,Livestock,12475.51,22000
2022,Finance Department,General Fund,Purchasing Agent,Contractual Services,Temp Services-Admin/Clerical,12644.5,0
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Chargeouts-Mail Room,12647.08,0
2022,Norfolk Community Services Board,Community Services Board,Mental Health Services Admin,Personnel Services,Retirement,12672,12672
2022,General Services,Gen Fixed Assets Group Of Acct,Facility and Enterprise Management,Contractual Services,Depr-System Account,12733.14,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,"Materials, Supplies, and Repairs",Supplies-Office,12738.01,10000
2022,Fire-Rescue,General Fund,Administration,"Materials, Supplies, and Repairs",Supplies-Copy & Duplicating,12767.88,17800
2022,Finance Department,General Fund,Finance Director Office,Contractual Services,Traveling Expense,12797.51,2000
2022,The National Maritime Center,Maritime Center,Operation & Admin Support,Contractual Services,Refuse & Garbage Disposal,12801.93,5500
2022,Human Services,General Fund,Social Services,Public Assistance,ILP-Basic Allocation,12805.1,35000
2022,Human Services,General Fund,Ysb - Secure Detention,"Materials, Supplies, and Repairs",Supplies-Clothing & Personal,12808.57,22501
2022,Norfolk Community Services Board,Community Services Board,Executive Director's Office,Contractual Services,Promotional Activities,12846.69,8788
2022,Public Works,General Fund,Streets And Bridges,Personnel Services,Retirement Expense (Vsrs Emp),12918.07,0
2022,Transportation,General Fund,Transportation Strategy and Innovation,Personnel Services,Employers Contrb Hospitalizatn,12929.56,27767
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Contractual Services,Telephone Chargeback I.S.,12960,12960
2022,Norfolk Community Services Board,Community Services Board,Detention Center,Personnel Services,Retirement,13060,13060
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Telephone,13074,17440
2022,Norfolk Community Services Board,Community Services Board,Infant Toddler Connection (ITCN),Contractual Services,Security Services,13100.99,15739
2022,Cultural Facilities Arts Entertainment,General Fund,General Macarthur Memorial,Contractual Services,Water & Sewage Disposal,13101.03,3935
2022,Parking Facilities Fund,Parking Facilities,Operations,"Materials, Supplies, and Repairs",Repairs-Parking Meters,13133.05,6720
2022,Departmental Support,General Fund,Boards and Commission Expenses,Contractual Services,Other Contractual Services,13157.01,70000
2022,Cemeteries,Cemetary Fund,Cemetery,"Materials, Supplies, and Repairs",Electricity,13240.23,16000
2022,The Department of Parks & Recreation (P&R),General Fund,Administrative Support,Contractual Services,Service Charge Credit Cards,13257.87,27894
2022,Waste Management,Waste Management,Waste Management,Personnel Services,Special Pay & Allowances,13273.33,19000
2022,Norfolk Community Services Board,Community Services Board,Child and Adolesent SVCS ADMIN,Personnel Services,Retirement,13279,13279
2022,Police,General Fund,Special Enforcement Division,"Materials, Supplies, and Repairs",Food,13301.8,12000
2022,Development,General Fund,Development Division,Contractual Services,Membership Dues & Subscription,13314.63,15050
2022,Police,Gen Fixed Assets Group Of Acct,Field Operations,Contractual Services,Depr-System Account,13344.4,0
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Contractual Services,Mileage,13402.79,21636
2022,Norfolk Community Services Board,Community Services Board,Intellectual Disabilities Service Admin,Personnel Services,Social Security Fica Tax,13409.01,9142
2022,Water,Water Utility Fund,Water Fund Debt Service,Debt Service/Transfers to CIP,R Bonds-Fiscal Agent'S Comm,13428,30000
2022,The Department of Parks & Recreation (P&R),General Fund,Director¿s Office,Contractual Services,Traveling Expense,13457.52,3000
2022,Emergency Preparedness and Response,EOC-911,Eoc-911,Contractual Services,Employee Training Expense,13468.75,30000
2022,Office of Marketing and Communications,General Fund,Office of Marketing and Communications,Contractual Services,Advertising,13470,20000
2022,Sheriff,Gen Fixed Assets Group Of Acct,Sheriff's Community Corrections Program,Contractual Services,Depr-System Account,13499.6,0
2022,Norfolk Community Services Board,Community Services Board,Administrative Services,Contractual Services,Employee Training Expense,13505.68,25000
2022,Public Health,General Fund,City-State Cooperative Budget,"Materials, Supplies, and Repairs",Repairs-Vehicle Maintenance,13552,13553
2022,Public Works,General Fund,Streets And Bridges,Equipment,Equip-Office & Household,13557.85,2500
2022,Planning and Community Development,General Fund,Planning,Personnel Services,Group Life Insurance Perm,13572.01,13975
2022,Water,Water Utility Fund,Divison Of Water Accounts,"Materials, Supplies, and Repairs",Chargeouts-Repro/Printing,13575.92,1420
2022,Planning and Community Development,General Fund,Division of Codes Administration,Personnel Services,Retirement Expense (Vsrs Emp),13675.28,0
2022,Public Works,General Fund,Streets And Bridges,"Materials, Supplies, and Repairs",Small Tools,13677.98,18000
2022,Norfolk Community Services Board,Community Services Board,ID Case Management,Personnel Services,Semi-Monthly/Monthly Overtime,13711.33,0
2022,Storm Water Management,Storm Water Utility Fund,Storm Water Operations,Debt Service/Transfers to CIP,Go Bonds-Expense For New Issue,13713.47,50000
2022,Fire-Rescue,General Fund,Administration,"Materials, Supplies, and Repairs",Supplies-Office,13716.01,17500
2022,Communications and Technology,Gen Fixed Assets Group Of Acct,Public Safety Radio Comm. System Upgrade,Contractual Services,Gain/Loss-Disp Of Assets-Systm,13855.8,0
2022,Human Services,General Fund,Local Only Programs,Contractual Services,Rent Of Land-Bldgs & Offices,13904.73,16528
2022,Norfolk Community Services Board,Community Services Board,Prevention Services,Personnel Services,Social Security Fica Tax,13937.45,14795
2022,Human Services,General Fund,State Fully Reimbursable (general),Personnel Services,Retirement,13964.17,0
2022,Water,Water Utility Fund,Division Of Engineering,"Materials, Supplies, and Repairs",Supplies-Office,13983.13,25000
2022,Police,General Fund,Detective,"Materials, Supplies, and Repairs",Supplies-Police,14047.43,14000
